id,value
27329329,0
15243791,0
30904063,0
11410125,10
24567828,35
24918640,17
24918641,9
24959218,16
24959219,17
24959220,15
24959229,25
25048432,27
25048443,25
25048467,5
25099690,21
25099693,36
25099695,35
25576111,29
25587195,0
25762351,26
25762354,31
25762360,33
25763042,24
25763043,24
25763044,25
25763045,26
25774334,47
25916209,11
25916210,11
25916222,11
25997028,13
25997029,24
25997033,13
25997037,14
4749770,0
4751796,6
4751797,1
4799550,0
26296332,13
26399971,11
26664143,20
27637808,70
4799552,2
4799557,1
4799694,0
4807643,0
4807644,0
4833713,0
4911506,3
27643823,95
27643824,95
28286145,0
31098865,16
33485852,20
35898989,55
39690208,0
46627282,0
46627283,0
60194996,0
4955635,2
5059927,0
60194997,0
60194998,0
5063447,0
61908121,0
68455574,87
68455576,0
68455592,85
68455594,0
95222770,16
95222778,9
95222782,11
123531485,58
125696203,9
125696208,7
125696210,12
125696211,10
125696212,11
125696213,16
125696214,9
125696216,13
125696217,9
125696218,9
125696221,10
125696223,10
125696225,9
125696229,13
126237137,0
126237140,0
126237146,0
126237153,0
126237159,4
126237160,23
126244902,0
131746844,22
144503693,54
147634328,0
147634329,0
5363784,0
147634334,0
5363808,4
5836225,0
5836238,0
5836239,0
8037981,0
150363618,55
150363639,58
8053612,0
163078277,25
8053613,0
9935008,0
163224925,40
163224927,50
9952194,0
9952196,0
184132448,64
9952198,0
9952199,0
9952201,0
9952203,0
9952204,0
188499736,0
9952205,0
9952207,0
9952208,0
9952210,0
9952212,0
9952214,0
9952216,1
9952218,0
9952219,0
11804980,0
11805242,0
11805302,0
11806267,0
15806588,0
15806589,0
15806591,0
17504360,0
22801798,0
22801799,0
24540431,0
24540432,0
25510571,0
25510586,2
25510594,0
25510598,3
25510606,0
25689230,1
28262201,0
28262202,0
28265628,0
28350918,0
28350919,0
28350921,0
28350922,0
28350934,0
28351475,0
4524860,0
188989883,7
188989888,0
188991024,0
188991030,0
28370071,2
28370072,0
4524862,1
28470317,1
28510673,0
188991042,0
28513285,0
4725834,0
4997606,0
4997607,0
5363785,0
5836226,0
5842152,2
5891750,2
5896198,0
6967920,0
7826089,0
7921115,0
7921117,2
8038015,0
8038016,0
8038017,0
8059749,0
4521223,5
4725836,0
4734933,0
4734936,0
5048526,3
8059751,0
8059753,0
8059756,0
8059765,0
8059766,0
8059767,0
8059768,0
8059772,0
8069638,0
8069639,0
8610404,0
8610406,0
9222165,0
9222168,0
9337645,4
9337646,0
9935004,0
9935005,0
9935006,0
9952221,0
5896177,0
9952224,0
5944857,0
5944860,0
9955297,5
9955298,0
9955299,0
9955300,0
9955302,0
10477333,0
10948637,0
10948638,1
10948639,0
15806600,0
28707135,0
189048853,67
15806746,0
216189338,0
5944861,0
219205846,9
219205847,10
219205848,11
22932078,0
28707136,0
5944862,0
33909028,2
33909029,1
220185216,0
23415206,0
220185219,0
39750394,3
39750395,0
39750707,0
222296334,0
41962480,3
46147616,2
47156874,0
69255002,2
69255004,3
222430798,77
222476883,43
5944863,0
224933896,0
